,ids,value,text3,AIS,origins,destinations,Navigation,Fog,High Elevation Clouds,Historical Trafficking Routes
463,463,2,Gameboard Index:463,0,0,0,0,3,0,67
464,464,2,Gameboard Index:464,1,0,0,0,1,0,60
465,465,2,Gameboard Index:465,0,0,0,0,0,0,62
466,466,2,Gameboard Index:466,0,0,0,0,1,0,58
467,467,2,Gameboard Index:467,0,0,0,0,6,0,52
468,468,2,Gameboard Index:468,1,0,0,1,7,0,39
469,469,2,Gameboard Index:469,0,0,0,1,6,0,26
470,470,2,Gameboard Index:470,0,0,0,2,4,1,0
471,471,2,Gameboard Index:471,0,0,0,0,4,3,22
472,472,2,Gameboard Index:472,2,0,0,0,7,0,38
473,473,2,Gameboard Index:473,0,0,0,0,5,0,6
474,474,2,Gameboard Index:474,1,0,0,0,3,0,33
475,475,2,Gameboard Index:475,0,0,0,1,2,0,58
476,476,2,Gameboard Index:476,0,0,0,1,0,0,57
477,477,2,Gameboard Index:477,0,0,0,0,2,0,47
478,478,2,Gameboard Index:478,1,0,0,1,0,0,17
479,479,2,Gameboard Index:479,0,0,0,0,1,0,17
480,480,2,Gameboard Index:480,0,0,0,2,4,3,0
481,481,2,Gameboard Index:481,0,0,0,1,9,1,0
482,482,2,Gameboard Index:482,0,0,0,1,10,2,0
483,483,2,Gameboard Index:483,0,0,0,3,6,3,0
484,484,2,Gameboard Index:484,0,0,0,1,8,2,0
485,485,2,Gameboard Index:485,0,0,0,1,7,3,0
486,486,2,Gameboard Index:486,1,1,0,0,3,1,43
487,487,2,Gameboard Index:487,1,0,0,0,3,0,61
488,488,2,Gameboard Index:488,0,0,0,0,4,0,45
489,489,2,Gameboard Index:489,0,0,0,0,2,0,64
490,490,2,Gameboard Index:490,0,0,0,0,3,0,58
491,491,2,Gameboard Index:491,1,0,0,0,4,0,45
492,492,2,Gameboard Index:492,0,0,0,0,6,0,56
493,493,2,Gameboard Index:493,1,0,0,2,3,0,43
494,494,2,Gameboard Index:494,1,0,0,2,5,4,0
495,495,2,Gameboard Index:495,0,0,0,2,2,2,5
496,496,2,Gameboard Index:496,1,0,0,0,8,2,48
497,497,2,Gameboard Index:497,2,0,0,0,1,0,38
498,498,2,Gameboard Index:498,1,0,0,0,3,0,48
499,499,2,Gameboard Index:499,0,0,0,0,2,0,56
500,500,2,Gameboard Index:500,1,0,0,0,2,0,10
501,501,2,Gameboard Index:501,0,0,0,0,0,0,28
502,502,2,Gameboard Index:502,1,0,0,0,2,0,44
503,503,2,Gameboard Index:503,1,0,0,0,0,0,41
504,504,2,Gameboard Index:504,0,0,0,2,6,3,0
505,505,2,Gameboard Index:505,0,0,0,2,4,3,0
506,506,2,Gameboard Index:506,0,0,0,2,4,0,0
507,507,2,Gameboard Index:507,0,0,0,1,2,2,0
508,508,2,Gameboard Index:508,0,0,0,0,6,3,0
509,509,2,Gameboard Index:509,0,0,0,1,3,3,0
510,510,2,Gameboard Index:510,0,0,0,2,7,3,0
511,511,2,Gameboard Index:511,0,0,0,1,6,3,2
512,512,2,Gameboard Index:512,0,0,0,0,5,0,38
513,513,2,Gameboard Index:513,0,0,0,0,2,0,69
514,514,2,Gameboard Index:514,0,0,0,0,5,0,39
515,515,2,Gameboard Index:515,0,0,0,0,4,0,23
516,516,2,Gameboard Index:516,0,0,0,0,1,0,49
517,517,2,Gameboard Index:517,0,0,0,1,5,1,56
518,518,2,Gameboard Index:518,0,0,0,2,5,2,0
519,519,2,Gameboard Index:519,0,0,0,0,5,1,5
520,520,2,Gameboard Index:520,1,0,0,0,7,1,70
521,521,2,Gameboard Index:521,0,0,0,0,3,0,26
522,522,2,Gameboard Index:522,0,0,0,0,3,0,36
523,523,2,Gameboard Index:523,0,0,0,0,3,0,29
524,524,2,Gameboard Index:524,0,0,0,0,2,0,11
525,525,2,Gameboard Index:525,1,0,0,0,4,0,13
526,526,2,Gameboard Index:526,0,0,0,1,3,0,6
527,527,2,Gameboard Index:527,1,0,0,1,0,0,23
528,528,2,Gameboard Index:528,0,0,0,0,5,3,0
529,529,2,Gameboard Index:529,0,0,0,1,6,3,0
530,530,2,Gameboard Index:530,0,0,0,1,0,0,0
531,531,2,Gameboard Index:531,0,0,0,2,4,3,0
532,532,2,Gameboard Index:532,0,0,0,1,3,2,0
533,533,2,Gameboard Index:533,0,0,0,1,0,2,0
534,534,2,Gameboard Index:534,0,0,0,1,7,2,0
535,535,2,Gameboard Index:535,0,0,0,1,7,4,0
536,536,2,Gameboard Index:536,0,1,0,2,4,1,0
537,537,2,Gameboard Index:537,1,0,0,1,4,1,5
538,538,2,Gameboard Index:538,0,0,0,1,3,0,4
539,539,2,Gameboard Index:539,0,0,0,1,6,0,21
540,540,2,Gameboard Index:540,0,0,0,2,3,1,23
541,541,2,Gameboard Index:541,0,0,0,1,4,1,4
542,542,2,Gameboard Index:542,1,0,0,1,6,2,13
543,543,2,Gameboard Index:543,0,0,0,0,2,0,60
544,544,2,Gameboard Index:544,0,0,0,0,3,0,69
545,545,2,Gameboard Index:545,0,0,0,0,7,0,31
546,546,2,Gameboard Index:546,0,0,0,0,3,0,50
547,547,2,Gameboard Index:547,0,0,0,0,2,0,32
548,548,2,Gameboard Index:548,0,0,0,0,0,0,13
549,549,2,Gameboard Index:549,1,0,0,0,0,0,11
550,550,2,Gameboard Index:550,0,0,0,0,4,1,1
551,551,2,Gameboard Index:551,1,0,0,1,2,2,10
552,552,2,Gameboard Index:552,0,0,0,2,4,5,0
553,553,2,Gameboard Index:553,0,0,0,2,7,1,0
554,554,2,Gameboard Index:554,0,0,0,3,6,1,0
555,555,2,Gameboard Index:555,0,0,0,1,6,1,0
556,556,2,Gameboard Index:556,0,0,0,2,2,0,0
557,557,2,Gameboard Index:557,0,0,0,1,0,2,0
558,558,2,Gameboard Index:558,0,0,0,1,6,4,0
559,559,2,Gameboard Index:559,0,0,0,1,6,2,0
560,560,2,Gameboard Index:560,0,0,0,2,7,1,0
561,561,2,Gameboard Index:561,0,0,0,3,6,0,0
562,562,2,Gameboard Index:562,0,0,0,1,8,0,0
563,563,2,Gameboard Index:563,0,0,0,1,6,1,0
564,564,2,Gameboard Index:564,0,0,0,1,7,0,0
565,565,2,Gameboard Index:565,0,0,0,2,5,0,0
566,566,2,Gameboard Index:566,0,0,0,2,4,0,7
567,567,2,Gameboard Index:567,0,0,0,0,1,1,19
568,568,2,Gameboard Index:568,2,0,0,0,0,0,36
569,569,2,Gameboard Index:569,0,0,0,0,2,0,66
570,570,2,Gameboard Index:570,1,0,0,0,1,0,33
571,571,2,Gameboard Index:571,0,0,0,0,0,0,14
572,572,2,Gameboard Index:572,1,0,0,0,1,0,1
573,573,2,Gameboard Index:573,1,0,0,0,0,0,2
574,574,2,Gameboard Index:574,1,0,0,0,6,2,0
575,575,2,Gameboard Index:575,1,0,0,0,1,0,2
